"No.","Time","Length","Info"
"2106","16.480397","115","Application Data"
"2107","16.496969","115","Application Data"
"2108","16.503840","129","Application Data"
"2109","16.503840","138","Application Data"
"2110","16.504046","74","56494  >  443 [ACK] Seq=21095 Ack=81743 Win=514 Len=0"
"2111","16.514299","115","Application Data"
"2112","16.518142","74","443  >  56494 [ACK] Seq=81743 Ack=21054 Win=8 Len=0"
"2113","16.530270","115","Application Data"
"2114","16.535899","133","Application Data"
"2115","16.548397","115","Application Data"
"2116","16.555873","74","443  >  56494 [ACK] Seq=81802 Ack=21136 Win=8 Len=0"
"2117","16.564815","115","Application Data"
"2125","16.575589","129","Application Data"
"2126","16.579788","115","Application Data"
"2127","16.591352","363","Application Data"
"2128","16.596980","115","Application Data"
"2129","16.612796","115","Application Data"
"2130","16.617674","129","Application Data"
"2132","16.632222","115","Application Data"
"2133","16.640580","74","443  >  56494 [ACK] Seq=82201 Ack=21341 Win=8 Len=0"
"2134","16.647751","115","Application Data"
"2135","16.657366","129","Application Data"
"2136","16.665171","115","Application Data"
"2137","16.681092","115","Application Data"
"2138","16.686319","74","443  >  56494 [ACK] Seq=82256 Ack=21464 Win=8 Len=0"
"2139","16.695546","133","Application Data"
"2140","16.696947","115","Application Data"
"2141","16.706806","99","Application Data"
"2142","16.706806","113","Application Data"
"2143","16.706806","98","Application Data"
"2144","16.706926","74","56528  >  443 [ACK] Seq=6426 Ack=459 Win=515 Len=0"
"2145","16.707392","74","56528  >  443 [FIN, ACK] Seq=6426 Ack=459 Win=515 Len=0"
"2146","16.721209","115","Application Data"
"2147","16.731889","115","Application Data"
"2148","16.737374","129","Application Data"
"2149","16.750420","138","Application Data"
"2150","16.750597","74","56494  >  443 [ACK] Seq=21669 Ack=82459 Win=511 Len=0"
"2151","16.764888","115","Application Data"
"2152","16.765664","74","443  >  56528 [ACK] Seq=459 Ack=6427 Win=63 Len=0"
"2153","16.771142","74","443  >  56494 [ACK] Seq=82459 Ack=21669 Win=8 Len=0"
"2154","16.771142","129","Application Data"
"2155","16.785655","363","Application Data"
"2156","16.785746","74","56494  >  443 [ACK] Seq=21710 Ack=82803 Win=510 Len=0"
"2157","16.797432","115","Application Data"
"2158","16.813877","115","Application Data"
"2159","16.817328","156","Application Data"
"2160","16.817424","74","56494  >  443 [ACK] Seq=21792 Ack=82885 Win=515 Len=0"
"2161","16.830443","115","Application Data"
"2162","16.846076","115","Application Data"
"2163","16.856653","148","Application Data"
"2164","16.863711","115","Application Data"
"2165","16.876682","74","443  >  56494 [ACK] Seq=82959 Ack=21833 Win=8 Len=0"
"2166","16.879786","115","Application Data"
"2167","16.896560","141","Application Data"
"2168","16.897856","115","Application Data"
"2169","16.913960","115","Application Data"
"2170","16.917558","74","443  >  56494 [ACK] Seq=83026 Ack=21956 Win=8 Len=0"
"2171","16.930493","115","Application Data"
"2172","16.935917","129","Application Data"
"2173","16.948121","115","Application Data"
"2174","16.961096","74","443  >  56494 [ACK] Seq=83081 Ack=22038 Win=8 Len=0"
"2175","16.964606","115","Application Data"
"2176","16.976931","129","Application Data"
"2177","16.980787","115","Application Data"
"2178","16.987094","138","Application Data"
"2179","16.987094","363","Application Data"
"2180","16.987231","74","56494  >  443 [ACK] Seq=22202 Ack=83489 Win=512 Len=0"
"2181","16.998688","115","Application Data"
"2182","17.015699","115","Application Data"
"2183","17.020937","145","Application Data"
"2184","17.032606","115","Application Data"
"2185","17.041869","74","443  >  56494 [ACK] Seq=83560 Ack=22243 Win=8 Len=0"
"2186","17.049184","115","Application Data"
"2187","17.056810","129","Application Data"
"2188","17.082836","115","Application Data"
"2189","17.086920","74","443  >  56494 [ACK] Seq=83615 Ack=22366 Win=8 Len=0"
"2190","17.098445","115","Application Data"
"2191","17.111685","148","Application Data"
"2192","17.130246","115","Application Data"
"2193","17.136654","148","Application Data"
"2194","17.145806","115","Application Data"
"2195","17.165215","115","Application Data"
"2196","17.166722","74","443  >  56494 [ACK] Seq=83763 Ack=22489 Win=8 Len=0"
"2197","17.176616","159","Application Data"
"2198","17.181728","115","Application Data"
"2199","17.191234","363","Application Data"
"2202","17.211045","74","443  >  56494 [ACK] Seq=84137 Ack=22612 Win=8 Len=0"
"2203","17.211045","167","Application Data"
"2204","17.211142","74","56494  >  443 [ACK] Seq=22612 Ack=84230 Win=510 Len=0"
"2205","17.213425","115","Application Data"
"2206","17.229670","115","Application Data"
"2207","17.241437","138","Application Data"
"2208","17.241527","74","56494  >  443 [ACK] Seq=22694 Ack=84294 Win=515 Len=0"
"2209","17.247460","115","Application Data"
"2210","17.256610","181","Application Data"
"2211","17.263708","115","Application Data"
"2212","17.280532","115","Application Data"
"2213","17.286705","74","443  >  56494 [ACK] Seq=84401 Ack=22735 Win=8 Len=0"
"2216","17.298837","115","Application Data"
"2217","17.301787","174","Application Data"
"2218","17.317145","74","443  >  56494 [ACK] Seq=84501 Ack=22817 Win=8 Len=0"
"2221","17.331855","115","Application Data"
"2222","17.347507","148","Application Data"
"2223","17.349086","115","Application Data"
"2224","17.364246","115","Application Data"
"2225","17.376762","163","Application Data"
"2226","17.380696","115","Application Data"
"2227","17.391692","1188","Application Data"
"2228","17.391692","363","Application Data"
"2229","17.391801","74","56494  >  443 [ACK] Seq=23022 Ack=86067 Win=515 Len=0"
"2230","17.397069","115","Application Data"
"2231","17.414473","115","Application Data"
"2232","17.422805","148","Application Data"
"2233","17.431357","115","Application Data"
"2234","17.448598","115","Application Data"
"2235","17.450429","74","443  >  56494 [ACK] Seq=86141 Ack=23063 Win=8 Len=0"
"2236","17.463350","148","Application Data"
"2237","17.463350","138","Application Data"
"2238","17.463670","74","56494  >  443 [ACK] Seq=23186 Ack=86279 Win=514 Len=0"
"2239","17.480298","115","Application Data"
"2240","17.486852","74","443  >  56494 [ACK] Seq=86279 Ack=23186 Win=8 Len=0"
"2241","17.496022","115","Application Data"
"2242","17.503888","169","Application Data"
"2243","17.513956","115","Application Data"
"2245","17.530942","115","Application Data"
"2246","17.548546","115","Application Data"
"2247","17.550184","74","443  >  56494 [ACK] Seq=86374 Ack=23268 Win=8 Len=0"
"2248","17.550184","162","Application Data"
"2249","17.566855","74","443  >  56494 [ACK] Seq=86462 Ack=23350 Win=8 Len=0"
"2250","17.582216","115","Application Data"
"2251","17.584933","204","Application Data"
"2252","17.584933","363","Application Data"
"2253","17.585063","74","56494  >  443 [ACK] Seq=23432 Ack=86881 Win=512 Len=0"
"2254","17.614050","115","Application Data"
"2255","17.617186","74","443  >  56494 [ACK] Seq=86881 Ack=23432 Win=7 Len=0"
"2256","17.630720","115","Application Data"
"2257","17.631462","150","Application Data"
"2258","17.649108","115","Application Data"
"2259","17.667907","175","Application Data"
"2260","17.680979","115","Application Data"
"2261","17.687229","74","443  >  56494 [ACK] Seq=87058 Ack=23555 Win=8 Len=0"
"2262","17.697125","115","Application Data"
"2263","17.712794","156","Application Data"
"2264","17.712794","138","Application Data"
"2265","17.712794","99","Application Data"
"2266","17.712956","74","56494  >  443 [ACK] Seq=23637 Ack=87229 Win=510 Len=0"
"2267","17.714075","115","Application Data"
"2268","17.730060","115","Application Data"
"2269","17.741906","74","443  >  56494 [ACK] Seq=87229 Ack=23637 Win=8 Len=0"
"2270","17.741906","144","Application Data"
"2271","17.745606","115","Application Data"
"2272","17.762797","115","Application Data"
"2273","17.776968","74","443  >  56494 [ACK] Seq=87299 Ack=23719 Win=8 Len=0"
"2274","17.776968","150","Application Data"
"2275","17.778908","115","Application Data"
"2276","17.797254","115","Application Data"
"2277","17.797774","363","Application Data"
"2278","17.798058","74","56494  >  443 [ACK] Seq=23883 Ack=87664 Win=515 Len=0"
"2279","17.806738","74","443  >  56494 [ACK] Seq=87664 Ack=23842 Win=8 Len=0"
"2280","17.814760","115","Application Data"
"2281","17.831643","163","Application Data"
"2282","17.845979","115","Application Data"
"2284","17.856921","74","443  >  56494 [ACK] Seq=87753 Ack=23924 Win=8 Len=0"
"2285","17.856921","144","Application Data"
"2286","17.862767","115","Application Data"
"2287","17.879427","115","Application Data"
"2288","17.896696","115","Application Data"
"2289","17.897279","74","443  >  56494 [ACK] Seq=87823 Ack=24006 Win=8 Len=0"
"2290","17.897279","144","Application Data"
"2291","17.914907","115","Application Data"
"2292","17.930180","115","Application Data"
"2293","17.936906","74","443  >  56494 [ACK] Seq=87893 Ack=24088 Win=8 Len=0"
"2294","17.936906","144","Application Data"
"2295","17.946689","115","Application Data"
"2296","17.951847","138","Application Data"
"2297","17.964213","115","Application Data"
"2298","17.968143","74","443  >  56494 [ACK] Seq=88027 Ack=24170 Win=8 Len=0"
"2299","17.980896","115","Application Data"
"2300","17.982296","144","Application Data"
"2301","17.992235","363","Application Data"
"2302","17.992410","74","56494  >  443 [ACK] Seq=24293 Ack=88386 Win=512 Len=0"
"2303","17.997471","115","Application Data"
"2304","18.007762","74","443  >  56494 [ACK] Seq=88386 Ack=24293 Win=8 Len=0"
"2305","18.014096","115","Application Data"
"2306","18.024702","144","Application Data"
"2307","18.030726","115","Application Data"
"2308","18.047819","115","Application Data"
"2309","18.062438","155","Application Data"
"2310","18.063492","115","Application Data"
"2311","18.073467","74","443  >  56494 [ACK] Seq=88537 Ack=24416 Win=8 Len=0"
"2312","18.080644","115","Application Data"
"2313","18.096436","115","Application Data"
"2314","18.098284","74","443  >  56494 [ACK] Seq=88537 Ack=24498 Win=8 Len=0"
"2315","18.098284","175","Application Data"
"2316","18.113276","115","Application Data"
"2317","18.129603","115","Application Data"
"2318","18.140811","74","443  >  56494 [ACK] Seq=88638 Ack=24580 Win=8 Len=0"
"2319","18.146330","115","Application Data"
"2320","18.157026","167","Application Data"
"2321","18.164339","115","Application Data"
"2322","18.184716","115","Application Data"
"2323","18.192970","156","Application Data"
"2324","18.192970","138","Application Data"
"2325","18.192970","363","Application Data"
"2326","18.193132","74","56494  >  443 [ACK] Seq=24785 Ack=89166 Win=515 Len=0"
"2327","18.196751","115","Application Data"
"2328","18.213030","115","Application Data"
"2329","18.222893","163","Application Data"
"2330","18.230484","115","Application Data"
"2331","18.237609","74","443  >  56494 [ACK] Seq=89255 Ack=24826 Win=8 Len=0"
"2332","18.245963","115","Application Data"
"2333","18.263178","115","Application Data"
"2334","18.264026","144","Application Data"
"2335","18.280610","115","Application Data"
"2336","18.283051","74","443  >  56494 [ACK] Seq=89325 Ack=24949 Win=8 Len=0"
"2337","18.297598","115","Application Data"
"2338","18.312999","115","Application Data"
"2339","18.313591","163","Application Data"
"2340","18.329768","115","Application Data"
"2341","18.340200","74","443  >  56494 [ACK] Seq=89414 Ack=25072 Win=8 Len=0"
"2342","18.340200","144","Application Data"
"2343","18.346097","115","Application Data"
"2344","18.362871","115","Application Data"
"2345","18.368306","74","443  >  56494 [ACK] Seq=89484 Ack=25154 Win=8 Len=0"
"2346","18.379600","115","Application Data"
"2347","18.394414","174","Application Data"
"2348","18.394414","1188","Application Data"
"2349","18.394556","74","56494  >  443 [ACK] Seq=25277 Ack=90698 Win=515 Len=0"
"2350","18.396337","115","Application Data"
"2351","18.403006","363","Application Data"
"2352","18.404208","74","443  >  56494 [ACK] Seq=90987 Ack=25277 Win=8 Len=0"
"2353","18.413842","115","Application Data"
"2354","18.429613","115","Application Data"
"2355","18.430729","148","Application Data"
"2356","18.430729","138","Application Data"
"2357","18.430829","74","56494  >  443 [ACK] Seq=25400 Ack=91125 Win=513 Len=0"
"2358","18.446114","115","Application Data"
"2359","18.456778","74","443  >  56494 [ACK] Seq=91125 Ack=25359 Win=8 Len=0"
"2360","18.462628","115","Application Data"
"2361","18.462640","179","Application Data"
"2362","18.480205","115","Application Data"
"2363","18.484397","74","443  >  56494 [ACK] Seq=91230 Ack=25441 Win=8 Len=0"
"2364","18.496741","115","Application Data"
"2365","18.503108","175","Application Data"
"2366","18.513464","115","Application Data"
"2367","18.529385","115","Application Data"
"2368","18.547034","115","Application Data"
"2369","18.549498","74","443  >  56494 [ACK] Seq=91331 Ack=25564 Win=8 Len=0"
"2370","18.549498","150","Application Data"
"2371","18.562780","115","Application Data"
"2372","18.573163","74","443  >  56494 [ACK] Seq=91407 Ack=25646 Win=8 Len=0"
"2373","18.579501","115","Application Data"
"2374","18.586724","229","Application Data"
"2375","18.586724","363","Application Data"
"2376","18.586834","74","56494  >  443 [ACK] Seq=25769 Ack=91851 Win=510 Len=0"
"2377","18.596058","115","Application Data"
"2378","18.607429","74","443  >  56494 [ACK] Seq=91851 Ack=25769 Win=8 Len=0"
"2379","18.612791","115","Application Data"
"2380","18.629215","144","Application Data"
"2381","18.629693","115","Application Data"
"2382","18.647910","115","Application Data"
"2383","18.648396","74","443  >  56494 [ACK] Seq=91921 Ack=25851 Win=8 Len=0"
"2384","18.664145","115","Application Data"
"2385","18.671318","180","Application Data"
"2386","18.671318","138","Application Data"
"2387","18.671424","74","56494  >  443 [ACK] Seq=25974 Ack=92091 Win=515 Len=0"
"2388","18.680918","115","Application Data"
"2389","18.682583","74","443  >  56494 [ACK] Seq=92091 Ack=25933 Win=8 Len=0"
"2390","18.698288","115","Application Data"
"2391","18.704455","148","Application Data"
"2392","18.704455","99","Application Data"
"2393","18.704636","74","56494  >  443 [ACK] Seq=26056 Ack=92190 Win=514 Len=0"
"2394","18.714194","115","Application Data"
"2395","18.729647","115","Application Data"
"2396","18.737632","74","443  >  56494 [ACK] Seq=92190 Ack=26056 Win=8 Len=0"
"2397","18.746024","115","Application Data"
"2398","18.757609","150","Application Data"
"2400","18.763279","115","Application Data"
"2402","18.779671","115","Application Data"
"2403","18.782758","167","Application Data"
"2404","18.793103","363","Application Data"
"2405","18.793194","74","56494  >  443 [ACK] Seq=26261 Ack=92648 Win=513 Len=0"
"2406","18.797084","115","Application Data"
"2407","18.813990","74","443  >  56494 [ACK] Seq=92648 Ack=26261 Win=8 Len=0"
"2408","18.813990","144","Application Data"
"2409","18.815489","115","Application Data"
"2410","18.846505","115","Application Data"
"2411","18.858261","74","443  >  56494 [ACK] Seq=92718 Ack=26343 Win=8 Len=0"
"2412","18.858261","180","Application Data"
"2413","18.862989","115","Application Data"
"2414","18.879697","115","Application Data"
"2415","18.895933","115","Application Data"
"2416","18.903019","144","Application Data"
"2417","18.915248","115","Application Data"
"2418","18.918865","138","Application Data"
"2419","18.927927","74","443  >  56494 [ACK] Seq=92958 Ack=26507 Win=8 Len=0"
"2420","18.930761","115","Application Data"
"2421","18.948388","115","Application Data"
"2422","18.950793","148","Application Data"
"2423","18.964794","115","Application Data"
"2424","18.968809","74","443  >  56494 [ACK] Seq=93032 Ack=26589 Win=8 Len=0"
"2425","18.981524","115","Application Data"
"2426","18.983646","150","Application Data"
"2427","18.983646","363","Application Data"
"2428","18.983926","74","56494  >  443 [ACK] Seq=26712 Ack=93397 Win=510 Len=0"
"2429","19.013526","115","Application Data"
"2430","19.018638","74","443  >  56494 [ACK] Seq=93397 Ack=26712 Win=8 Len=0"
"2431","19.018638","113","Application Data"
"2432","19.018638","74","443  >  56298 [FIN, ACK] Seq=40 Ack=1 Win=8 Len=0"
"2433","19.018638","144","Application Data"
"2434","19.018638","113","Application Data"
"2435","19.018869","74","56494  >  443 [ACK] Seq=26753 Ack=93467 Win=515 Len=0"
"2436","19.018969","74","56298  >  443 [ACK] Seq=1 Ack=41 Win=510 Len=0"
"2437","19.019780","74","56299  >  443 [FIN, ACK] Seq=1 Ack=40 Win=515 Len=0"
"2438","19.019992","74","56298  >  443 [FIN, ACK] Seq=1 Ack=41 Win=510 Len=0"
"2439","19.030683","74","443  >  56299 [FIN, ACK] Seq=40 Ack=1 Win=8 Len=0"
"2440","19.030743","115","Application Data"
"2441","19.030866","74","56299  >  443 [ACK] Seq=2 Ack=41 Win=515 Len=0"
"2442","19.050483","115","Application Data"
"2443","19.059651","74","443  >  56299 [ACK] Seq=41 Ack=2 Win=7 Len=0"
"2444","19.059651","155","Application Data"
"2445","19.080626","115","Application Data"
"2446","19.091798","74","443  >  56494 [ACK] Seq=93548 Ack=26835 Win=8 Len=0"
"2447","19.097856","115","Application Data"
"2448","19.108565","167","Application Data"
"2449","19.115872","115","Application Data"
"2450","19.130929","115","Application Data"
"2451","19.134282","74","443  >  56494 [ACK] Seq=93641 Ack=26917 Win=8 Len=0"
"2452","19.143385","144","Application Data"
"2453","19.143385","138","Application Data"
"2454","19.143487","74","56494  >  443 [ACK] Seq=26999 Ack=93775 Win=514 Len=0"
"2455","19.148870","115","Application Data"
"2456","19.165063","115","Application Data"
"2457","19.168408","74","443  >  56494 [ACK] Seq=93775 Ack=26999 Win=8 Len=0"
"2458","19.181206","115","Application Data"
"2459","19.184069","163","Application Data"
"2460","19.184069","363","Application Data"
"2461","19.184229","74","56494  >  443 [ACK] Seq=27122 Ack=94153 Win=512 Len=0"
"2462","19.198030","115","Application Data"
"2463","19.215231","115","Application Data"
"2464","19.219466","74","443  >  56494 [ACK] Seq=94153 Ack=27122 Win=8 Len=0"
"2465","19.232224","115","Application Data"
"2466","19.233994","144","Application Data"
"2467","19.248241","74","443  >  56494 [ACK] Seq=94223 Ack=27204 Win=8 Len=0"
"2468","19.264347","144","Application Data"
"2469","19.264626","74","56494  >  443 [ACK] Seq=27245 Ack=94293 Win=512 Len=0"
"2470","19.264891","115","Application Data"
"2471","19.281216","115","Application Data"
"2472","19.297975","115","Application Data"
"2473","19.303646","144","Application Data"
"2474","19.316795","115","Application Data"
"2475","19.322690","74","[TCP Retransmission] 56298  >  443 [FIN, ACK] Seq=1 Ack=41 Win=510 Len=0"
"2476","19.324343","74","443  >  56494 [ACK] Seq=94363 Ack=27327 Win=8 Len=0"
"2477","19.346445","155","Application Data"
"2478","19.347420","115","Application Data"
"2479","19.363863","115","Application Data"
"2480","19.368548","74","443  >  56298 [ACK] Seq=41 Ack=2 Win=8 Len=0"
"2481","19.380132","115","Application Data"
"2482","19.384138","187","Application Data"
"2483","19.396958","115","Application Data"
"2484","19.399287","138","Application Data"
"2485","19.399836","1200","Application Data"
"2486","19.399836","363","Application Data"
"2487","19.399992","74","56494  >  443 [ACK] Seq=27573 Ack=96036 Win=515 Len=0"
"2488","19.413143","115","Application Data"
"2489","19.413710","74","443  >  56494 [ACK] Seq=96036 Ack=27532 Win=8 Len=0"
"2490","19.413710","144","Application Data"
"2491","19.431568","115","Application Data"
"2492","19.449098","74","443  >  56494 [ACK] Seq=96106 Ack=27614 Win=8 Len=0"
"2493","19.449136","115","Application Data"
"2494","19.465353","144","Application Data"
"2495","19.480879","115","Application Data"
"2496","19.489660","74","443  >  56494 [ACK] Seq=96176 Ack=27696 Win=8 Len=0"
"2497","19.496368","115","Application Data"
"2498","19.508924","183","Application Data"
"2499","19.515800","115","Application Data"
"2502","19.539587","74","443  >  56494 [ACK] Seq=96285 Ack=27778 Win=8 Len=0"
"2503","19.539587","163","Application Data"
"2504","19.547453","115","Application Data"
"2520","19.564464","115","Application Data"
"2525","19.574183","74","443  >  56494 [ACK] Seq=96374 Ack=27860 Win=8 Len=0"
"2527","19.582560","115","Application Data"
"2528","19.584523","180","Application Data"
"2529","19.594290","363","Application Data"
"2530","19.594397","74","56494  >  443 [ACK] Seq=27942 Ack=96769 Win=512 Len=0"
"2531","19.613141","115","Application Data"
"2532","19.629296","144","Application Data"
"2533","19.629296","138","Application Data"
"2534","19.629402","74","56494  >  443 [ACK] Seq=27983 Ack=96903 Win=511 Len=0"
"2535","19.630912","115","Application Data"
"2537","19.646161","115","Application Data"
"2538","19.651828","74","56355  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2539","19.664492","144","Application Data"
"2540","19.664968","115","Application Data"
"2541","19.684418","74","443  >  56494 [ACK] Seq=96973 Ack=28065 Win=8 Len=0"
"2542","19.697056","115","Application Data"
"2543","19.704247","144","Application Data"
"2544","19.713813","115","Application Data"
"2545","19.714048","99","Application Data"
"2546","19.729884","115","Application Data"
"2547","19.748678","115","Application Data"
"2548","19.754101","144","Application Data"
"2549","19.765636","74","443  >  56494 [ACK] Seq=97138 Ack=28229 Win=8 Len=0"
"2550","19.780724","115","Application Data"
"2551","19.785510","144","Application Data"
"2552","19.785510","363","Application Data"
"2553","19.785702","74","56494  >  443 [ACK] Seq=28311 Ack=97497 Win=515 Len=0"
"2554","19.797942","115","Application Data"
"2555","19.818285","115","Application Data"
"2556","19.819464","144","Application Data"
"2557","19.847639","115","Application Data"
"2558","19.863710","115","Application Data"
"2559","19.865130","144","Application Data"
"2560","19.865130","138","Application Data"
"2561","19.865314","74","56494  >  443 [ACK] Seq=28475 Ack=97701 Win=514 Len=0"
"2562","19.880070","115","Application Data"
"2563","19.884424","74","443  >  56494 [ACK] Seq=97701 Ack=28434 Win=8 Len=0"
"2564","19.898056","115","Application Data"
"2565","19.898730","163","Application Data"
"2566","19.914372","115","Application Data"
"2567","19.916610","75","56313  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU]"
"2568","19.919735","74","443  >  56494 [ACK] Seq=97790 Ack=28516 Win=8 Len=0"
"2569","19.930201","115","Application Data"
"2570","19.944331","148","Application Data"
"2571","19.947549","115","Application Data"
"2572","19.963214","115","Application Data"
"2573","19.973180","74","443  >  56494 [ACK] Seq=97864 Ack=28639 Win=8 Len=0"
"2574","19.973180","86","443  >  56313 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"2575","19.979258","115","Application Data"
"2576","19.983872","144","Application Data"
"2577","19.983872","363","Application Data"
"2578","19.984026","74","56494  >  443 [ACK] Seq=28762 Ack=98223 Win=512 Len=0"
"2579","19.995836","115","Application Data"
"2580","20.009254","74","443  >  56494 [ACK] Seq=98223 Ack=28762 Win=8 Len=0"
"2581","20.012643","115","Application Data"
"2582","20.019034","144","Application Data"
"2583","20.030181","115","Application Data"
"2584","20.047045","115","Application Data"
"2585","20.048770","74","443  >  56494 [ACK] Seq=98293 Ack=28844 Win=8 Len=0"
"2586","20.063534","115","Application Data"
"2587","20.080055","144","Application Data"
"2588","20.081079","115","Application Data"
"2589","20.097795","115","Application Data"
"2590","20.104376","179","Application Data"
"2591","20.104376","138","Application Data"
"2592","20.104478","74","56494  >  443 [ACK] Seq=29049 Ack=98532 Win=511 Len=0"
"2593","20.114098","115","Application Data"
"2594","20.124439","74","443  >  56494 [ACK] Seq=98532 Ack=29008 Win=8 Len=0"
"2595","20.130961","115","Application Data"
"2596","20.144423","179","Application Data"
"2597","20.148389","115","Application Data"
"2598","20.169711","74","443  >  56494 [ACK] Seq=98637 Ack=29131 Win=8 Len=0"
"2599","20.180108","115","Application Data"
"2600","20.184749","150","Application Data"
"2601","20.184749","363","Application Data"
"2602","20.184835","74","56494  >  443 [ACK] Seq=29213 Ack=99002 Win=515 Len=0"
"2603","20.196740","115","Application Data"
"2604","20.214353","115","Application Data"
"2605","20.224745","167","Application Data"
"2606","20.230248","115","Application Data"
"2607","20.247840","115","Application Data"
"2608","20.259929","74","443  >  56494 [ACK] Seq=99095 Ack=29295 Win=8 Len=0"
"2609","20.259929","180","Application Data"
"2610","20.263421","115","Application Data"
"2611","20.280115","115","Application Data"
"2612","20.289484","74","443  >  56494 [ACK] Seq=99201 Ack=29377 Win=8 Len=0"
"2613","20.299666","115","Application Data"
"2614","20.304799","144","Application Data"
"2615","20.315060","115","Application Data"
"2616","20.331651","115","Application Data"
"2617","20.339400","74","443  >  56494 [ACK] Seq=99271 Ack=29500 Win=8 Len=0"
"2618","20.339400","144","Application Data"
"2619","20.348064","115","Application Data"
"2620","20.349999","138","Application Data"
"2621","20.365261","115","Application Data"
"2622","20.369766","74","443  >  56494 [ACK] Seq=99405 Ack=29582 Win=8 Len=0"
"2623","20.385963","150","Application Data"
"2624","20.397206","115","Application Data"
"2625","20.399591","1200","Application Data"
"2626","20.399591","363","Application Data"
"2627","20.399717","74","56494  >  443 [ACK] Seq=29705 Ack=100896 Win=515 Len=0"
"2628","20.413930","115","Application Data"
"2629","20.430772","115","Application Data"
"2630","20.436749","167","Application Data"
"2631","20.447267","115","Application Data"
"2632","20.456742","74","443  >  56494 [ACK] Seq=100989 Ack=29746 Win=8 Len=0"
"2633","20.456742","144","Application Data"
"2634","20.463320","115","Application Data"
"2635","20.479064","115","Application Data"
"2636","20.490137","74","443  >  56494 [ACK] Seq=101059 Ack=29828 Win=8 Len=0"
"2637","20.497289","115","Application Data"
"2638","20.506887","144","Application Data"
"2639","20.512738","115","Application Data"
"2640","20.530220","115","Application Data"
"2641","20.541043","74","443  >  56494 [ACK] Seq=101129 Ack=29951 Win=8 Len=0"
"2642","20.548688","115","Application Data"
"2643","20.552565","144","Application Data"
"2644","20.570361","74","443  >  56494 [ACK] Seq=101199 Ack=30033 Win=8 Len=0"
"2645","20.581432","115","Application Data"
"2646","20.582517","144","Application Data"
"2647","20.590469","138","Application Data"
"2648","20.590584","74","56494  >  443 [ACK] Seq=30115 Ack=101333 Win=513 Len=0"
"2649","20.591547","363","Application Data"
"2650","20.599530","115","Application Data"
"2651","20.615094","115","Application Data"
"2652","20.625053","180","Application Data"
"2653","20.631033","115","Application Data"
"2654","20.647247","115","Application Data"
"2655","20.660262","74","443  >  56494 [ACK] Seq=101728 Ack=30197 Win=8 Len=0"
"2656","20.660262","144","Application Data"
"2657","20.664417","115","Application Data"
"2658","20.682118","115","Application Data"
"2659","20.691264","74","443  >  56494 [ACK] Seq=101798 Ack=30279 Win=8 Len=0"
"2660","20.699196","115","Application Data"
"2661","20.703008","148","Application Data"
"2662","20.710724","99","Application Data"
"2663","20.710860","74","56494  >  443 [ACK] Seq=30402 Ack=101897 Win=511 Len=0"
"2664","20.731855","115","Application Data"
"2665","20.741056","74","443  >  56494 [ACK] Seq=101897 Ack=30402 Win=8 Len=0"
"2666","20.741056","179","Application Data"
"2667","20.748651","115","Application Data"
"2668","20.764308","115","Application Data"
"2669","20.781631","115","Application Data"
"2670","20.784922","150","Application Data"
"2671","20.797039","115","Application Data"
"2672","20.799252","363","Application Data"
"2673","20.799431","74","56494  >  443 [ACK] Seq=30607 Ack=102367 Win=515 Len=0"
"2674","20.813673","115","Application Data"
"2675","20.821877","74","443  >  56494 [ACK] Seq=102367 Ack=30566 Win=8 Len=0"
"2676","20.821877","154","Application Data"
"2677","20.832285","115","Application Data"
"2678","20.848562","115","Application Data"
"2679","20.848887","138","Application Data"
"2680","20.860249","144","Application Data"
"2681","20.860342","74","56494  >  443 [ACK] Seq=30730 Ack=102581 Win=514 Len=0"
"2682","20.865195","115","Application Data"
"2683","20.881673","115","Application Data"
"2684","20.890969","74","443  >  56494 [ACK] Seq=102581 Ack=30730 Win=8 Len=0"
"2685","20.899010","115","Application Data"
"2686","20.904725","144","Application Data"
"2687","20.914679","115","Application Data"
"2688","20.931492","115","Application Data"
"2689","20.940755","74","443  >  56494 [ACK] Seq=102651 Ack=30853 Win=8 Len=0"
"2690","20.949282","115","Application Data"
"2691","20.950516","163","Application Data"
"2692","20.965120","115","Application Data"
"2694","20.973493","74","443  >  56494 [ACK] Seq=102740 Ack=30935 Win=8 Len=0"
"2695","20.981365","115","Application Data"
"2696","20.997264","115","Application Data"
"2697","20.999146","148","Application Data"
"2698","20.999146","363","Application Data"
"2699","20.999272","74","56494  >  443 [ACK] Seq=31099 Ack=103103 Win=512 Len=0"
"2700","21.012701","115","Application Data"
"2701","21.026449","74","443  >  56494 [ACK] Seq=103103 Ack=31058 Win=8 Len=0"
"2702","21.029648","115","Application Data"
"2703","21.036738","148","Application Data"
"2704","21.045891","115","Application Data"
"2705","21.057334","74","443  >  56494 [ACK] Seq=103177 Ack=31140 Win=8 Len=0"
"2706","21.062872","115","Application Data"
"2707","21.079120","115","Application Data"
"2708","21.084188","205","Application Data"
"2709","21.096307","115","Application Data"
"2710","21.101050","74","443  >  56494 [ACK] Seq=103308 Ack=31263 Win=8 Len=0"
