"No.","Time","Length","Info"
"159","1.405939","74","56480  >  443 [ACK] Seq=1 Ack=65 Win=517 Len=0"
"161","1.406335","74","56480  >  443 [FIN, ACK] Seq=1 Ack=65 Win=517 Len=0"
"179","1.430593","189","Application Data"
"181","1.460731","74","443  >  56480 [ACK] Seq=65 Ack=2 Win=63 Len=0"
"182","1.476306","189","Application Data"
"183","1.476399","74","56494  >  443 [ACK] Seq=1 Ack=8477 Win=514 Len=0"
"185","1.512408","189","Application Data"
"188","1.559600","456","Application Data"
"189","1.559717","74","56494  >  443 [ACK] Seq=1 Ack=8974 Win=512 Len=0"
"192","1.595293","189","Application Data"
"193","1.641254","189","Application Data"
"194","1.641388","74","56494  >  443 [ACK] Seq=1 Ack=9204 Win=511 Len=0"
"195","1.681777","189","Application Data"
"196","1.681777","99","Application Data"
"197","1.682220","74","56494  >  443 [ACK] Seq=1 Ack=9344 Win=511 Len=0"
"198","1.711719","189","Application Data"
"199","1.750845","189","Application Data"
"200","1.750943","74","56494  >  443 [ACK] Seq=1 Ack=9574 Win=510 Len=0"
"201","1.761076","113","Application Data"
"202","1.761076","363","Application Data"
"203","1.762453","74","56420  >  443 [FIN, ACK] Seq=1 Ack=40 Win=513 Len=0"
"204","1.791279","189","Application Data"
"205","1.791377","74","56494  >  443 [ACK] Seq=1 Ack=9978 Win=515 Len=0"
"206","1.811059","74","443  >  56420 [ACK] Seq=40 Ack=2 Win=36720 Len=0"
"207","1.811059","74","443  >  56420 [FIN, ACK] Seq=40 Ack=2 Win=36720 Len=0"
"208","1.811253","74","56420  >  443 [ACK] Seq=2 Ack=41 Win=513 Len=0"
"209","1.830841","189","Application Data"
"210","1.871710","189","Application Data"
"211","1.872015","74","56494  >  443 [ACK] Seq=1 Ack=10208 Win=514 Len=0"
"212","1.911875","189","Application Data"
"213","1.951415","189","Application Data"
"214","1.951506","74","56494  >  443 [ACK] Seq=1 Ack=10438 Win=513 Len=0"
"215","1.971434","363","Application Data"
"216","1.991941","189","Application Data"
"217","1.992007","74","56494  >  443 [ACK] Seq=1 Ack=10842 Win=511 Len=0"
"225","2.026708","189","Application Data"
"226","2.068544","74","56494  >  443 [ACK] Seq=1 Ack=10957 Win=511 Len=0"
"227","2.072185","189","Application Data"
"229","2.111346","189","Application Data"
"230","2.111436","74","56494  >  443 [ACK] Seq=1 Ack=11187 Win=510 Len=0"
"231","2.153341","189","Application Data"
"232","2.153341","113","Application Data"
"233","2.153341","98","Application Data"
"234","2.153341","74","443  >  56501 [FIN, ACK] Seq=64 Ack=1 Win=63 Len=0"
"235","2.153469","74","56501  >  443 [ACK] Seq=1 Ack=65 Win=517 Len=0"
"236","2.155157","74","56501  >  443 [FIN, ACK] Seq=1 Ack=65 Win=517 Len=0"
"237","2.166181","363","Application Data"
"240","2.166263","74","56494  >  443 [ACK] Seq=1 Ack=11591 Win=515 Len=0"
"243","2.192379","101","Application Data"
"244","2.192379","189","Application Data"
"245","2.192507","74","56494  >  443 [ACK] Seq=1 Ack=11733 Win=514 Len=0"
"246","2.194620","105","Application Data"
"247","2.221613","74","443  >  56501 [ACK] Seq=65 Ack=2 Win=63 Len=0"
"249","2.232061","189","Application Data"
"250","2.271472","189","Application Data"
"251","2.271594","74","56494  >  443 [ACK] Seq=32 Ack=11963 Win=513 Len=0"
"252","2.307943","189","Application Data"
"253","2.349417","74","56494  >  443 [ACK] Seq=32 Ack=12078 Win=513 Len=0"
"254","2.351560","189","Application Data"
"255","2.381897","1358","Application Data"
"256","2.382016","74","56494  >  443 [ACK] Seq=32 Ack=13477 Win=515 Len=0"
"257","2.393620","189","Application Data"
"258","2.432168","189","Application Data"
"259","2.432279","74","56494  >  443 [ACK] Seq=32 Ack=13707 Win=514 Len=0"
"260","2.472439","189","Application Data"
"261","2.472439","113","Application Data"
"262","2.472439","98","Application Data"
"263","2.472596","74","56495  >  443 [ACK] Seq=1 Ack=65 Win=517 Len=0"
"264","2.473869","74","56495  >  443 [FIN, ACK] Seq=1 Ack=65 Win=517 Len=0"
"265","2.512193","189","Application Data"
"266","2.512303","74","56494  >  443 [ACK] Seq=32 Ack=13937 Win=513 Len=0"
"267","2.531994","74","443  >  56495 [ACK] Seq=65 Ack=2 Win=63 Len=0"
"268","2.552567","189","Application Data"
"269","2.563008","363","Application Data"
